rule_id,condition,result,priority,reasoning
r036,loading_needed=true AND assets_heavy=true,scene=3d-loader motion=loading-sequence stack=r3f-full,8,Heavy assets need branded 3D loading screen with useProgress
r037,industry=travel AND type=immersive,stack=r3f-full scene=procedural-landscape shader=gradient-sky motion=scroll-camera-journey,9,Travel immersive → procedural landscape + sky dome + camera journey
r038,client=non_technical AND edit_needed=true,stack=spline-only,10,Non-technical client needing edits → Spline visual editor is only viable option
r039,effect=cursor AND style=creative,motion=cursor-trail motion2=magnetic-hover shader=none,7,Creative cursor → trail effect + magnetic hover on interactive elements
r040,industry=music AND type=artist_site,stack=audio-web-stack scene=audio-reactive-particles motion=audio-gsap palette=cyber-pink,9,Music artist site → always audio-reactive with matching dark palette
r041,performance_critical=true AND complexity=high,rule=add_performance_monitoring perf=gpu-memory-budget perf=render-scale-mobile,10,Performance-critical → add spector.js monitoring + strict GPU budget
r042,scene=any AND has_lights=true,perf=shadow-limit rule=max_3_shadow_casters,9,Always limit shadow-casting lights to 3 maximum
r043,deployment=production AND seo=required,stack=nextjs-r3f rule=dynamic_import_no_ssr perf=lazy-load-3d,10,Production + SEO → Next.js with dynamic no-SSR import + lazy load
r044,industry=real_estate AND type=virtual_tour,stack=r3f-full scene=glass-room motion=drag-3d perf=texture-ktx2,9,Virtual tour → glass room + drag navigation + compressed textures
r045,device_check=needed,rule=add_webgl_detector perf=webgl-fallback palette=any,10,Always add WebGL detection before rendering scene
r046,style=retro OR style=vaporwave,scene=matrix-rain shader=scanline-crt palette=neon-tokyo motion=kinetic-type,7,Retro/vaporwave → matrix rain + CRT scanlines + neon tokyo
r047,scene=any AND ambient_light_only=true,rule=use_environment_map_instead,8,Single ambient light → replace with HDR environment map for better quality
r048,industry=science AND type=explainer,scene=dna-helix OR scene=molecular-network OR scene=solar-system motion=stagger-reveal,8,Science explainers → factual 3D models with clean reveal animations
r049,budget=unlimited AND style=premium,stack=postprocessing-stack scene=glass-room shader=god-rays shader2=bokeh-dof,9,Unlimited budget premium → post-processing stack with god rays and bokeh
r050,type=interactive_experience AND duration=long,stack=r3f-full scene=scroll-camera-journey motion=smooth-scroll-lenis perf=render-once,9,Long interactive experience → full R3F journey with demand rendering to save battery
