shader_id,name,type,description,technique,uniforms,use_with,complexity,mood,keywords,glsl_snippet_hint
noise-texture,Procedural Noise Texture,fragment,Animated FBM fractal noise texture,fBm layered octaves of value noise,uTime uOctaves uScale,abstract-fluid-bg|aurora-background,medium,organic|abstract|atmospheric,procedural fbm fractal noise texture octaves,float n = fbm(uv * uScale + uTime * 0.1 uOctaves)
dissolve,Dissolve Transition,fragment,Object dissolves using noise threshold,Compare noise value to dissolve threshold,uThreshold uEdgeColor uNoise,page transitions|reveals,low,dramatic|mystical|modern,dissolve noise threshold transition edge,float n = texture2D(uNoise vUv).r; alpha = step(uThreshold n); edge = step(uThreshold - 0.05 n) - step(uThreshold n)
trail-fade,Motion Trail Fade,fragment,Object leaves fading trail behind it,Render to texture + blend previous frame,uMotionTex uDecay uBlend,audio-reactive-particles|cursor trails,medium,dynamic|energetic|artistic,motion trail fade previous frame blend,color = mix(texture2D(uMotionTex vUv) currentColor uDecay)
rim-light,Rim Light,fragment,Backlit rim lighting on 3D objects,View angle to drive bright rim,uRimColor uRimPower uRimIntensity,hero-floating-orb|product scenes,low,cinematic|premium|dramatic,rim light backlit view angle highlight,float rim = pow(1.0 - dot(vNormal viewDir) uRimPower) * uRimIntensity
sky-gradient,Sky Gradient,fragment,Multi-stop sky color gradient,Y-position based color mixing,uTopColor uMidColor uBotColor uTime,procedural-landscape|outdoor,low,natural|epic|atmospheric,sky gradient color stop y position,color = mix(uBotColor uMidColor smoothstep(0.0 0.5 vUv.y))
electricity,Electric Lightning,fragment,Procedural electric lightning bolt effect,FBM noise on UV creating jagged line,uTime uColor uSpeed,sci-fi|tech|dramatic,medium,sci-fi|energy|dramatic,electricity lightning procedural fbm jagged,float line = abs(fbm(vec2(vUv.x * 10.0 uTime * uSpeed)) - vUv.y) * 20.0
scanline-crt,CRT Scanline,fragment,Retro CRT monitor scanline effect,Alternating dark lines + vignette,uLineSpacing uIntensity,retro|gaming|404 pages,low,retro|nostalgic|dark,crt scanline retro monitor dark lines,float scan = sin(vUv.y * uLineSpacing * 3.14159) * uIntensity
soap-bubble,Soap Bubble Iridescence,fragment,Thin-film soap bubble color interference,Angle-based color interference pattern,uTime uThickness,beauty|luxury|creative,medium,playful|premium|delicate,soap bubble thin film iridescence interference,vec3 col = 0.5 + 0.5 * cos(uTime + uThickness * viewDot + vec3(0 2.09 4.19))
warp-speed,Warp Speed Streaks,vertex+fragment,Star streak warp speed effect,Elongated star points along camera axis,uTime uSpeed uStreakLength,loading|gaming|dramatic hero,medium,dramatic|sci-fi|epic,warp speed streaks star elongation camera axis,pos += normalize(pos) * uSpeed * uStreakLength
crystal-refraction,Crystal Refraction,fragment,Light bending through crystal geometry,Environment map + IOR-based refraction,uIOR uEnvMap uChromatic,crystal-shard|luxury,high,luxury|premium|editorial,crystal refraction ior environment chromatic,vec3 refracted = refract(viewDir normal 1.0/uIOR); color = textureCube(uEnvMap refracted)
fluid-sim,2D Fluid Simulation,fragment,GPU-based 2D fluid advection,Navier-Stokes simplified on GPU texture,uVelocity uDensity uDt,hero backgrounds|interactive demos,very-high,organic|dynamic|unique,fluid simulation navier stokes gpu texture,advect(uVelocity uDensity uDt)
wireframe-glow,Glowing Wireframe,fragment,Wireframe edges with neon glow,Barycentric coordinates for edge detection,uEdgeColor uGlowWidth uBgColor,terrain-wireframe|hologram-ui,medium,tech|sci-fi|retro,wireframe glow neon barycentric edges,float edge = min(min(vBary.x vBary.y) vBary.z); glow = 1.0 - smoothstep(0.0 uGlowWidth edge)
smoke-shader,Volumetric Smoke,fragment,Raymarched volumetric smoke,Raymarching through density field,uTime uDensity uSteps,smoke-particles|atmospheric,very-high,moody|atmospheric|premium,volumetric smoke raymarching density field,for(int i=0; i<uSteps; i++) { pos += dir * stepSize; density += sample(pos uTime); }
mirror-reflect,Mirror Reflection,fragment,Planar reflection using render texture,Flip UV on Y axis for floor/wall mirror,uReflectTex uBlurAmount,glass-room|luxury,high,luxury|premium|architectural,mirror reflection planar render texture flip,vec2 reflectUV = vec2(vUv.x 1.0 - vUv.y); color = texture2D(uReflectTex reflectUV)
gradient-sky,Gradient Sky Dome,vertex+fragment,Procedural sky dome gradient,Hemisphere gradient using vertex Y,uSkyColor uHorizonColor uGroundColor uSunPos,outdoor|landscape,low,natural|open|atmospheric,sky dome gradient hemisphere vertex y sun,color = mix(uHorizonColor uSkyColor smoothstep(0.0 0.5 vNormal.y))
lava-lamp,Lava Lamp Blobs,fragment,Metaball lava lamp effect,SDF-based metaball field summation,uTime uColor1 uColor2 uBalls,hero background|creative,medium,playful|organic|creative,lava lamp metaball sdf field blobs,float field = sum of 1.0/distance(uv ball[i]) for each ball
ascii-art,ASCII Art Shader,fragment,Convert scene to ASCII character art,Sample brightness → map to ASCII character index,uCharTex uDensity,retro|creative|404 pages,medium,retro|unique|creative,ascii art shader brightness character map,float brightness = dot(color vec3(0.299 0.587 0.114)); index = floor(brightness * numChars)
film-grain,Film Grain,fragment,Cinematic film grain noise overlay,Random noise texture overlay with time seed,uTime uStrength uSize,cinematic scenes|luxury,low,cinematic|editorial|moody,film grain noise cinematic overlay,float grain = fract(sin(dot(vUv * uSize vec2(12.9898 78.233)) + uTime) * 43758.5453)
color-grade,Color Grading LUT,fragment,Apply cinematic color grade via 3D LUT,Sample 3D LUT texture for color transform,uLUT uLUTSize,any final pass,low,cinematic|premium|editorial,color grading lut 3d lookup table,vec3 lutColor = texture3D(uLUT clamp(color 0.0 1.0)).rgb
speed-lines,Speed Lines,fragment,Manga/anime speed lines from center,Radial lines from center point,uTime uSpeed uColor uCenter,sports|gaming|energetic,low,energetic|bold|dynamic,speed lines radial manga anime center,float angle = atan(uv.y - uCenter.y uv.x - uCenter.x); line = step(0.98 fract(angle * uSpeed))
vhs-glitch,VHS Glitch,fragment,Retro VHS tape glitch artifact,Horizontal scanline jitter + color bleed,uTime uIntensity,retro|edgy|music,low,retro|nostalgic|edgy,vhs glitch tape artifact horizontal jitter,uv.x += sin(floor(uv.y * 200.0 + uTime * 10.0)) * uIntensity * 0.02
hexagon-grid,Hexagon Grid Pattern,fragment,Animated hexagon grid overlay,HEX tiling function on UV,uTime uColor uSize uGap,sci-fi|tech|data,low,tech|sci-fi|systematic,hexagon grid hex tiling animated overlay,vec2 hexUV = hexTile(uv * uSize); color = smoothstep(uGap uGap+0.02 hexDist(hexUV))
perlin-cloud,Perlin Cloud,fragment,Soft volumetric cloud using perlin noise,FBM layered octaves with density threshold,uTime uScale uDensity,sky|ambient|background,medium,soft|natural|dreamy,perlin cloud fbm octaves density soft,float cloud = smoothstep(uDensity 1.0 fbm(uv * uScale + uTime * 0.05 6))
pixel-sort,Pixel Sorting,fragment,Glitch-style pixel sorting effect,Sort pixels by brightness along axis,uThreshold uTime uAxis,glitch|art|music,medium,glitch|artistic|edgy,pixel sort brightness axis glitch art,sorted = pixelSort(scanline uThreshold uAxis)
edge-detect,Edge Detection,fragment,Sobel edge detection outline effect,Sobel kernel convolution on screen texture,uStrength uColor,cel-shading|stylized,low,stylized|minimal|artistic,edge detection sobel outline stylized,vec3 edge = sobelKernel(tDiffuse vUv texelSize) * uStrength
caustic,Underwater Caustics,fragment,Animated caustic light patterns,Layered voronoi patterns summed,uTime uScale uColor uSpeed,water-surface|underwater|pools,medium,tropical|serene|unique,caustics underwater light animated voronoi,float c = voronoiLayer(uv uTime uScale) + voronoiLayer(uv * 1.3 uTime * 0.8 uScale * 0.7)
sss,Subsurface Scattering,fragment,Light penetrating translucent material,Approximate SSS via thickness + wrap lighting,uThickness uScatterColor uLightPos,beauty products|organic|wax,high,organic|warm|premium,subsurface scattering thickness translucent light,float sss = pow(max(0.0 dot(-lightDir normal) + uWrap) uPower) * uThickness * uScatterColor
