scene_id,name,description,primary_stack,secondary_stack,complexity,use_case,industry,mood,keywords,anti_patterns,perf_cost
floating-island,Floating Island Scene,Suspended geometry island with fog depth and soft lighting,R3F + Drei,Three.js,high,hero|landing,gaming|education|fantasy,dreamy|whimsical|immersive,floating island fog depth lighting,avoid without scene optimization,high
wave-terrain,Wave Terrain,Sine-wave displaced plane with gradient color on scroll,Three.js PlaneGeometry,R3F + GSAP,medium,hero|section,tech|saas|data,futuristic|calm|flow,wave terrain sine displacement gradient,avoid too many vertices on mobile,medium
glass-room,Glass Room,Interior glass scene with refraction shader,Three.js + shader,R3F,very-high,hero|showcase,architecture|luxury|fashion,premium|editorial|minimal,glass refraction interior shader room,avoid without WebGL2 check,very-high
aurora-background,Aurora Background,Northern lights shader background,Three.js ShaderMaterial,R3F,medium,background|hero,travel|wellness|beauty,dreamy|atmospheric|calm,aurora northern lights shader background,avoid bright environments,medium
dna-helix,DNA Helix,Animated double helix structure with glow,Three.js + TubeGeometry,R3F,medium,hero|about,healthcare|biotech|education,scientific|precise|modern,dna helix tube geometry animation glow,avoid overlit scene,medium
data-globe,Data Globe,Rotating globe with data points and connection arcs,Three.js + custom shader,R3F,high,hero|dashboard,fintech|data|saas,global|powerful|modern,globe data points arcs rotation shader,avoid without canvas fallback,high
magnetic-cursor,Magnetic Cursor 3D,3D object follows cursor with spring physics,R3F + useSpring,GSAP,low,hero interaction,portfolio|agency|creative,playful|premium|interactive,magnetic cursor spring physics 3d follow,avoid laggy implementation,low
cloth-simulation,Cloth Simulation,Physics-based cloth with wind interaction,Three.js + custom physics,R3F,very-high,hero|banner,fashion|luxury|creative,dramatic|editorial|premium,cloth simulation physics wind fabric,avoid mobile,very-high
liquid-metal-hero,Liquid Metal Hero,Reflective mercury-like liquid metal blob,Three.js + shader,R3F,high,hero,automotive|luxury|tech,premium|futuristic|bold,liquid metal mercury reflection shader blob,avoid without GPU tier check,high
isometric-city,Isometric City,Animated low-poly isometric city with day/night cycle,Three.js InstancedMesh,R3F,high,hero|about,real-estate|tech|smart-city,professional|modern|ambitious,isometric city low-poly day night cycle,avoid very high polygon count,high
audio-reactive-particles,Audio Reactive Particles,Particles respond to audio frequency in real-time,Three.js + Web Audio API,R3F,high,hero|music,music|entertainment|events,energetic|dynamic|immersive,audio reactive particles frequency fft,avoid autoplay audio,high
3d-card-stack,3D Card Stack,Stacked cards with 3D parallax hover reveal,CSS 3D + GSAP,R3F,low,features|pricing|portfolio,saas|portfolio|agency,clean|modern|premium,card stack parallax 3d hover css,avoid too many DOM elements,low
noise-displacement,Noise Displacement Field,Abstract displacement field driven by simplex noise,Three.js ShaderMaterial,R3F,medium,background|hero,creative|agency|art,abstract|artistic|unique,noise displacement field simplex shader,avoid CPU-based noise,medium
molecular-network,Molecular Network,Nodes and edges forming 3D network graph,Three.js Lines + Points,R3F,high,hero|about|data,biotech|fintech|data-science,scientific|connected|modern,molecular network graph nodes edges,avoid too many connections,high
3d-timeline,3D Timeline,Interactive 3D timeline with camera pan,R3F + GSAP,Three.js,medium,about|story,brand|portfolio|saas,narrative|professional|unique,timeline 3d camera pan interactive,avoid without scroll snap,medium
spline-embed,Spline Scene Embed,No-code Spline scene embedded with @splinetool/react-spline,Spline,React,low,hero|feature,any,any,spline embed no-code interactive,avoid large spline file sizes,low
procedural-landscape,Procedural Landscape,Infinite procedural terrain with dynamic sky,Three.js + shader,R3F,very-high,hero|immersive,travel|gaming|environment,epic|vast|cinematic,procedural terrain infinite sky shader,avoid without worker thread,very-high
scroll-text-3d,Scroll-Driven 3D Text,Text elements move in 3D space on scroll,GSAP ScrollTrigger + CSS 3D,R3F,medium,hero|sections,editorial|fashion|luxury,dramatic|editorial|bold,scroll text 3d transform perspective,avoid on mobile without reduce,medium
hologram-ui,Hologram UI,Sci-fi holographic interface with scanlines,Three.js + ShaderMaterial,R3F,medium,hero|feature,tech|crypto|gaming,futuristic|sci-fi|dark,hologram ui scanlines fresnel glow,avoid overuse of post-processing,medium
3d-gallery,3D Image Gallery,Images floating in 3D space with depth,R3F + Drei,Three.js,medium,portfolio|gallery,photography|art|fashion,editorial|immersive|creative,gallery images 3d space depth floating,avoid large unoptimized textures,medium
wormhole-tunnel,Wormhole Tunnel,Scroll through a wormhole/space tunnel,Three.js TubeGeometry + shader,R3F + GSAP,high,intro|loading|hero,gaming|entertainment|tech,dramatic|immersive|futuristic,wormhole tunnel tube geometry shader scroll,avoid high vertex count on mobile,high
particle-text,Particle Text,Text formed by particles that scatter/assemble,Three.js Points + canvas,R3F,high,hero|404|loading,tech|crypto|entertainment,dramatic|bold|tech,particle text assemble scatter canvas texture,avoid on mobile without count limit,high
ripple-plane,Ripple Plane,Interactive plane that ripples on mouse hover/click,Three.js + shader,R3F,medium,hero|feature,creative|agency|portfolio,interactive|unique|playful,ripple plane mouse interaction shader,avoid multiple ripple planes,medium
orbit-system,Orbit System,Planets or icons orbiting a central object,Three.js + GSAP,R3F + Drei,medium,hero|features,tech|saas|education,modern|systematic|clean,orbit system planets icons animation,avoid too many orbit elements,medium
depth-scroll,Depth Scroll Parallax,Multi-layer CSS/JS parallax with depth illusion,GSAP ScrollTrigger,CSS 3D,low,hero|sections,any,immersive|dynamic|modern,parallax depth scroll layers illusion,avoid too many layers,low
glitch-effect,Glitch Effect Scene,RGB split glitch distortion on text/image,Three.js + shader,GSAP,low,hero|404|loading,gaming|crypto|edgy,edgy|bold|dramatic,glitch rgb split distortion shader,avoid overuse,low
3d-loader,3D Loading Screen,Branded 3D animation as page loader,R3F + GSAP,Three.js,medium,loading screen,any,premium|branded|polished,loader 3d animation branded sequence,avoid long load time,medium
magnetic-field,Magnetic Field Lines,Animated magnetic field visualization,Three.js Lines,R3F,medium,hero|data,science|education|tech,scientific|dynamic|unique,magnetic field lines animation visualization,avoid too many line segments,medium
infinite-scroll-3d,Infinite 3D Scroll,Infinite looping 3D elements on scroll,GSAP + Three.js,R3F,medium,showcase|portfolio,creative|agency|fashion,dynamic|editorial|modern,infinite scroll 3d loop gsap,avoid memory leaks in loop,medium
crystal-shard,Crystal Shard Scene,Geometric crystal shards with light refraction,Three.js + shader,R3F,high,hero|luxury,fashion|beauty|luxury,premium|dramatic|editorial,crystal shard geometry refraction light,avoid too many draw calls,high
depth-of-field,Depth of Field Scene,Blurred background with sharp foreground (Bokeh),Three.js + post-processing,R3F,high,hero|product,photography|fashion|luxury,cinematic|premium|editorial,depth of field bokeh post-processing blur,avoid on low-end devices,high
neon-grid,Neon Grid City,Dark neon grid cityscape,Three.js InstancedMesh,R3F,medium,hero|background,gaming|crypto|nightlife,dark|neon|cyberpunk,neon grid city dark cyberpunk instanced,avoid flat unlit materials,medium
smoke-particles,Smoke/Fog Particles,Volumetric smoke or fog particle system,Three.js Points + shader,R3F,high,hero|atmosphere,beauty|wellness|luxury,atmospheric|moody|premium,smoke fog volumetric particles shader,avoid CPU-based smoke,high
countdown-3d,3D Countdown Timer,3D flip-style countdown timer,CSS 3D + GSAP,R3F,low,hero|launch,any,dynamic|exciting|branded,countdown flip 3d timer launch,avoid complex shadow on flip,low
interactive-logo,Interactive 3D Logo,Brand logo in 3D with interaction,R3F + Drei,Spline,medium,hero|navbar,any,premium|branded|unique,logo 3d interactive mesh brand,avoid overly complex logo mesh,medium
terrain-wireframe,Terrain Wireframe,Wireframe terrain with neon edges,Three.js WireframeGeometry,R3F,medium,hero|background,tech|gaming|crypto,retro|futuristic|minimal,wireframe terrain edges neon geometry,avoid dense wireframe,medium
solar-system,Solar System,Interactive animated solar system,Three.js + GSAP,R3F,high,hero|education,education|science|space,epic|educational|interactive,solar system planets orbit animation,avoid without texture optimization,high
book-flip,3D Book Flip,Realistic page-turning book animation,Three.js + custom shader,R3F,high,showcase|product,education|publishing|brand,elegant|unique|narrative,book page flip animation shader 3d,avoid many page textures,high
water-surface,Water Surface,Realistic water shader with reflections,Three.js + shader,R3F,very-high,hero|ambient,travel|nature|luxury,serene|premium|natural,water surface reflection shader realistic,avoid without GPU check,very-high
matrix-rain,Matrix Rain 3D,3D matrix digital rain effect,Three.js InstancedMesh,R3F,medium,hero|background,tech|gaming|hacker,dark|technical|dramatic,matrix rain digital instanced mesh 3d,avoid CPU string rendering,medium
emoji-physics,Emoji Physics Field,Emojis or icons with physics simulation,R3F + Rapier,Three.js,medium,hero|fun,consumer|food|entertainment,playful|fun|energetic,emoji icons physics gravity rapier 3d,avoid too many physics bodies,medium
scroll-zoom,Scroll Zoom Scene,Camera zooms into object on scroll,R3F + GSAP,Three.js,medium,product|feature reveal,saas|product|automotive,dramatic|focused|premium,scroll zoom camera product reveal,avoid jarring zoom speed,medium
constellation-bg,Constellation Background,Static star/constellation background with subtle animation,Three.js Points,CSS,low,background,any,calm|minimal|elegant,constellation stars background points subtle,avoid overloading with too many points,low
fiber-optic,Fiber Optic Lines,Glowing fiber optic line trails,Three.js TubeGeometry,R3F,medium,hero|background,tech|fintech|telecom,premium|tech|glowing,fiber optic lines glow tube geometry trails,avoid too many tube segments,medium
parallax-layers,3D Parallax Layers,Multiple depth layers moving on mouse,GSAP + CSS 3D,R3F,low,hero|section,any,immersive|depth|modern,parallax layers depth mouse movement,avoid too many DOM layers,low
ribbon-wave,Ribbon Wave,Flowing 3D ribbon wave animation,Three.js + shader,R3F,medium,hero|background,beauty|fashion|creative,elegant|flowing|organic,ribbon wave flowing shader geometry,avoid sharp color banding,medium
exploded-view,Exploded Product View,Product parts explode apart on scroll,R3F + GSAP,Three.js,high,product showcase,automotive|hardware|tech,educational|premium|detailed,exploded view product parts scroll animation,avoid too many separate meshes,high
gravity-well,Gravity Well,Particles sucked into gravity vortex,Three.js Points + shader,R3F,high,hero|CTA,tech|crypto|science,dramatic|powerful|dynamic,gravity well vortex particles shader,avoid CPU simulation,high
